4 , 23/10/2012 04:47:54:011 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KE101522401Recovered Amount :0.0
4 , 23/10/2012 04:47:55:337 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:47:55:337 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12MP090190101
4 , 23/10/2012 04:47:55:337 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091538401Claim Applied Amount :25500.0
4 , 23/10/2012 04:47:55:337 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:47:55:337 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:47:55:337 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091538401Recovered Amount :0.0
4 , 23/10/2012 04:47:55:337 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:47:55:337 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091538401Default Amount :30000.0
4 , 23/10/2012 04:47:55:337 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:47:55:353 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:47:55:353 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:47:55:353 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:47:55:353 , ClaimAction , displayClaimApproval() , memId :000100650000
4 , 23/10/2012 04:47:55:353 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP102804801
4 , 23/10/2012 04:47:55:353 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:47:55:353 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:47:55:353 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:47:55:353 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:47:55:353 , ClaimAction , displayClaimApproval() , memId :000100300000
4 , 23/10/2012 04:47:55:353 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12KA090463301
4 , 23/10/2012 04:47:55:353 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:47:55:353 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:47:55:368 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:47:55:368 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:47:55:368 , ClaimAction , displayClaimApproval() , memId :002300130000
4 , 23/10/2012 04:47:55:368 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12AR110007801
4 , 23/10/2012 04:47:55:368 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:47:55:368 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:47:55:368 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:47:55:368 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:47:55:368 , ClaimAction , displayClaimApproval() , memId :000100450000
4 , 23/10/2012 04:47:55:368 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12TN090558401
4 , 23/10/2012 04:47:55:384 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:47:55:384 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:47:55:384 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:47:55:384 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:47:55:384 , ClaimAction , displayClaimApproval() , memId :000100090000
4 , 23/10/2012 04:47:55:384 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP101289701
4 , 23/10/2012 04:47:55:384 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:47:55:384 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:47:55:384 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:47:55:384 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:47:55:384 , ClaimAction , displayClaimApproval() , memId :003000040000
4 , 23/10/2012 04:47:55:384 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12RA100353001
4 , 23/10/2012 04:47:55:384 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:47:55:384 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:47:55:399 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:47:55:399 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:47:55:399 , ClaimAction , displayClaimApproval() , memId :003500000000
4 , 23/10/2012 04:47:55:399 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:47:55:399 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12MA100406901
4 , 23/10/2012 04:47:55:399 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12MP090005801Oustanding Amount :19769.0
4 , 23/10/2012 04:47:55:399 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:47:55:399 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12MP090005801Approved Application Amount :47500.0
4 , 23/10/2012 04:47:55:399 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:47:55:399 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12MP090005801Claim Applied Amount :14827.0
4 , 23/10/2012 04:47:55:399 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:47:55:399 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12MP090005801Recovered Amount :0.0
4 , 23/10/2012 04:47:55:399 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:47:55:399 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12MP090005801Default Amount :50000.0
4 , 23/10/2012 04:47:55:415 , ClaimAction , displayClaimApproval() , memId :000100060000
4 , 23/10/2012 04:47:55:415 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:47:55:415 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12PU090258101
4 , 23/10/2012 04:47:55:415 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:47:55:415 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:47:55:415 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:47:55:415 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB100662201Oustanding Amount :95000.0
4 , 23/10/2012 04:47:55:415 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:47:55:415 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB100662201Approved Application Amount :95000.0
4 , 23/10/2012 04:47:55:415 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:47:55:415 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB100662201Claim Applied Amount :66509.0
4 , 23/10/2012 04:47:55:415 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:47:55:415 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB100662201Recovered Amount :0.0
4 , 23/10/2012 04:47:55:415 , ClaimAction , displayClaimApproval() , memId :000100360000
4 , 23/10/2012 04:47:55:415 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB100662201Default Amount :38306.0
4 , 23/10/2012 04:47:55:431 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12HA100178501
4 , 23/10/2012 04:47:55:431 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:47:55:431 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:47:55:431 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:47:55:431 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:47:55:431 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:47:55:431 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:47:55:431 , ClaimAction , displayClaimApproval() , memId :000100060000
4 , 23/10/2012 04:47:55:431 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12PU090258401
4 , 23/10/2012 04:47:55:431 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:47:55:431 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:47:55:431 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:47:55:431 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:47:55:446 , ClaimAction , displayClaimApproval() , memId :001500280000
4 , 23/10/2012 04:47:55:446 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP100402601
4 , 23/10/2012 04:47:55:446 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:47:55:446 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:47:55:446 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:47:55:446 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:47:55:446 , ClaimAction , displayClaimApproval() , memId :000100650000
4 , 23/10/2012 04:47:55:446 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP110748301
4 , 23/10/2012 04:47:55:446 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:47:55:446 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:47:55:446 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:47:55:462 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:47:55:462 , ClaimAction , displayClaimApproval() , memId :001400010000
4 , 23/10/2012 04:47:55:462 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP101229401
4 , 23/10/2012 04:47:55:462 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:47:55:462 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:47:55:462 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:47:55:462 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:47:55:462 , ClaimAction , displayClaimApproval() , memId :001500060000
4 , 23/10/2012 04:47:55:462 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12OR090165501
4 , 23/10/2012 04:47:55:462 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:47:55:477 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:47:55:477 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB100055701Oustanding Amount :93472.0
4 , 23/10/2012 04:47:55:477 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:47:55:477 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB100055701Approved Application Amount :600000.0
4 , 23/10/2012 04:47:55:477 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:47:55:477 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB100055701Claim Applied Amount :450000.0
4 , 23/10/2012 04:47:55:477 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:47:55:477 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB100055701Recovered Amount :0.0
4 , 23/10/2012 04:47:55:477 , ClaimAction , displayClaimApproval() , memId :003800020000
4 , 23/10/2012 04:47:55:477 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:47:55:477 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB100055701Default Amount :19769.0
4 , 23/10/2012 04:47:55:477 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12KE070162501
4 , 23/10/2012 04:47:55:477 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091585301Oustanding Amount :45000.0
4 , 23/10/2012 04:47:55:477 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:47:55:477 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:47:55:493 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091585301Approved Application Amount :45000.0
4 , 23/10/2012 04:47:55:493 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:47:55:493 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:47:55:493 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091585301Claim Applied Amount :38250.0
4 , 23/10/2012 04:47:55:493 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:47:55:493 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091585301Recovered Amount :0.0
4 , 23/10/2012 04:47:55:493 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:47:55:493 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091585301Default Amount :95000.0
4 , 23/10/2012 04:47:55:493 , ClaimAction , displayClaimApproval() , memId :002900180000
4 , 23/10/2012 04:47:55:493 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:47:55:493 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12WB070072401
4 , 23/10/2012 04:47:55:493 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:47:55:509 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:47:55:509 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:47:55:509 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:47:55:509 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:47:55:509 , ClaimAction , displayClaimApproval() , memId :003000040000
4 , 23/10/2012 04:47:55:509 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12RA090650801
4 , 23/10/2012 04:47:55:509 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:47:55:509 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:47:55:509 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:47:55:509 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:47:55:509 , ClaimAction , displayClaimApproval() , memId :000100580000
4 , 23/10/2012 04:47:55:524 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP101332601
4 , 23/10/2012 04:47:55:524 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:47:55:524 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:47:55:524 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:47:55:524 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:47:55:524 , ClaimAction , displayClaimApproval() , memId :000100580000
4 , 23/10/2012 04:47:55:524 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP091955701
4 , 23/10/2012 04:47:55:524 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:47:55:524 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:47:55:524 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:47:55:524 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:47:55:524 , ClaimAction , displayClaimApproval() , memId :000100710000
4 , 23/10/2012 04:47:55:524 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12KE101239401
4 , 23/10/2012 04:47:55:524 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:47:55:524 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:47:55:540 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:47:55:540 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:47:55:540 , ClaimAction , displayClaimApproval() , memId :000100190000
4 , 23/10/2012 04:47:55:540 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12BI100517801
4 , 23/10/2012 04:47:55:540 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:47:55:540 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:47:55:540 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:47:55:540 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:47:55:540 , ClaimAction , displayClaimApproval() , memId :000100190000
4 , 23/10/2012 04:47:55:540 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:47:55:540 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12BI100536101
4 , 23/10/2012 04:47:55:555 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB080157101Oustanding Amount :95000.0
4 , 23/10/2012 04:47:55:555 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:47:55:555 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB080157101Approved Application Amount :95000.0
4 , 23/10/2012 04:47:55:555 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:47:55:555 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB080157101Claim Applied Amount :76955.0
4 , 23/10/2012 04:47:55:555 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:47:55:555 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB080157101Recovered Amount :0.0
4 , 23/10/2012 04:47:55:555 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:47:55:555 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:47:55:555 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB080157101Default Amount :93472.0
4 , 23/10/2012 04:47:55:555 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090076801Oustanding Amount :40000.0
4 , 23/10/2012 04:47:55:555 , ClaimAction , displayClaimApproval() , memId :000900110000
4 , 23/10/2012 04:47:55:571 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:47:55:571 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090076801Approved Application Amount :40000.0
4 , 23/10/2012 04:47:55:571 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12WB100483601
4 , 23/10/2012 04:47:55:571 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:47:55:571 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090076801Claim Applied Amount :34000.0
4 , 23/10/2012 04:47:55:571 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:47:55:571 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090076801Recovered Amount :0.0
4 , 23/10/2012 04:47:55:571 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:47:55:571 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090076801Default Amount :45000.0
4 , 23/10/2012 04:47:55:571 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:47:55:571 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:47:55:571 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:47:55:571 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:47:55:571 , ClaimAction , displayClaimApproval() , memId :002501610000
4 , 23/10/2012 04:47:55:571 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP102725401
4 , 23/10/2012 04:47:55:587 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:47:55:587 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:47:55:587 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:47:55:587 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:47:55:587 , ClaimAction , displayClaimApproval() , memId :003000040000
4 , 23/10/2012 04:47:55:587 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12RA090811601
4 , 23/10/2012 04:47:55:587 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:47:55:587 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:47:55:587 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:47:55:587 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:47:55:587 , ClaimAction , displayClaimApproval() , memId :000100500000
4 , 23/10/2012 04:47:55:602 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP090226901
4 , 23/10/2012 04:47:55:602 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:47:55:602 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:47:55:602 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:47:55:602 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:47:55:602 , ClaimAction , displayClaimApproval() , memId :001500120000
4 , 23/10/2012 04:47:55:602 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12WB090559201
4 , 23/10/2012 04:47:55:602 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:47:55:602 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:47:55:602 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:47:55:602 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:47:55:602 , ClaimAction , displayClaimApproval() , memId :000100650000
4 , 23/10/2012 04:47:55:602 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP102811401
4 , 23/10/2012 04:47:55:602 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:47:55:602 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:47:55:618 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:47:55:618 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:47:55:618 , ClaimAction , displayClaimApproval() , memId :001500020000
4 , 23/10/2012 04:47:55:618 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12GU100327901
4 , 23/10/2012 04:47:55:618 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:47:55:618 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:47:55:618 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:47:55:618 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:47:55:618 , ClaimAction , displayClaimApproval() , memId :001500100000
4 , 23/10/2012 04:47:55:618 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12KE090008101
4 , 23/10/2012 04:47:55:618 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:47:55:618 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:47:55:618 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:47:55:618 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:47:55:633 , ClaimAction , displayClaimApproval() , memId :000100650000
4 , 23/10/2012 04:47:55:633 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP090100401
4 , 23/10/2012 04:47:55:633 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:47:55:633 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:47:55:633 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090771501Oustanding Amount :32000.0
4 , 23/10/2012 04:47:55:633 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:47:55:633 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090771501Approved Application Amount :32000.0
4 , 23/10/2012 04:47:55:633 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:47:55:633 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:47:55:633 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090771501Claim Applied Amount :30389.0
4 , 23/10/2012 04:47:55:633 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:47:55:649 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101703901Oustanding Amount :500000.0
4 , 23/10/2012 04:47:55:649 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090771501Recovered Amount :0.0
4 , 23/10/2012 04:47:55:649 , ClaimAction , displayClaimApproval() , memId :003000040000
4 , 23/10/2012 04:47:55:649 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101703901Approved Application Amount :500000.0
4 , 23/10/2012 04:47:55:649 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090771501Default Amount :95000.0
4 , 23/10/2012 04:47:55:649 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12RA090769601
4 , 23/10/2012 04:47:55:649 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101703901Claim Applied Amount :490881.0
4 , 23/10/2012 04:47:55:665 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:47:55:665 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:47:55:665 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101703901Recovered Amount :0.0
4 , 23/10/2012 04:47:55:665 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:47:55:665 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:47:55:665 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101703901Default Amount :40000.0
4 , 23/10/2012 04:47:55:665 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:47:55:665 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:47:55:665 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:47:55:665 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:47:55:665 , ClaimAction , displayClaimApproval() , memId :000100190000
4 , 23/10/2012 04:47:55:665 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12BI100525901
4 , 23/10/2012 04:47:55:665 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:47:55:665 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:47:55:680 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:47:55:680 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:47:55:680 , ClaimAction , displayClaimApproval() , memId :001500070000
