4 , 22/10/2012 07:01:10:932 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:01:37:228 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI100537201Recovered Amount :0.0
4 , 22/10/2012 07:01:37:230 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI100537201Default Amount :400000.0
4 , 22/10/2012 07:01:37:233 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:01:37:236 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:01:37:302 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:01:37:308 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB102170801Oustanding Amount :4859.0
4 , 22/10/2012 07:01:37:311 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB102170801Approved Application Amount :6000.0
4 , 22/10/2012 07:01:37:314 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB102170801Claim Applied Amount :4959.0
4 , 22/10/2012 07:01:37:317 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB102170801Recovered Amount :0.0
4 , 22/10/2012 07:01:37:320 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB102170801Default Amount :12000.0
4 , 22/10/2012 07:01:37:322 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:01:37:325 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:01:37:391 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:01:37:394 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP102338501Oustanding Amount :40000.0
4 , 22/10/2012 07:01:37:397 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP102338501Approved Application Amount :40000.0
4 , 22/10/2012 07:01:37:399 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP102338501Claim Applied Amount :40000.0
4 , 22/10/2012 07:01:37:402 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP102338501Recovered Amount :0.0
4 , 22/10/2012 07:01:37:404 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP102338501Default Amount :4859.0
4 , 22/10/2012 07:01:37:407 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:01:37:409 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:01:37:476 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:01:37:479 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB110136701Oustanding Amount :105000.0
4 , 22/10/2012 07:01:37:482 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB110136701Approved Application Amount :105000.0
4 , 22/10/2012 07:01:37:485 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB110136701Claim Applied Amount :77431.0
4 , 22/10/2012 07:01:37:487 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB110136701Recovered Amount :0.0
4 , 22/10/2012 07:01:37:489 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB110136701Default Amount :40000.0
4 , 22/10/2012 07:01:37:492 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:01:37:494 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:01:37:559 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:01:37:562 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP102345001Oustanding Amount :49294.0
4 , 22/10/2012 07:01:37:565 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP102345001Approved Application Amount :50000.0
4 , 22/10/2012 07:01:37:568 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP102345001Claim Applied Amount :38178.0
4 , 22/10/2012 07:01:37:570 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP102345001Recovered Amount :0.0
4 , 22/10/2012 07:01:37:573 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP102345001Default Amount :105000.0
4 , 22/10/2012 07:01:37:576 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:01:37:577 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:01:37:642 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:01:37:645 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100399701Oustanding Amount :31500.0
4 , 22/10/2012 07:01:37:648 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100399701Approved Application Amount :31500.0
4 , 22/10/2012 07:01:37:651 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100399701Claim Applied Amount :26775.0
4 , 22/10/2012 07:01:37:653 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100399701Recovered Amount :0.0
4 , 22/10/2012 07:01:37:656 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100399701Default Amount :49294.0
4 , 22/10/2012 07:01:37:659 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:01:37:662 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:01:37:732 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:01:37:734 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12MA110008801Oustanding Amount :375000.0
4 , 22/10/2012 07:01:37:737 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12MA110008801Approved Application Amount :375000.0
4 , 22/10/2012 07:01:37:740 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12MA110008801Claim Applied Amount :248899.0
4 , 22/10/2012 07:01:37:743 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12MA110008801Recovered Amount :0.0
4 , 22/10/2012 07:01:37:745 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12MA110008801Default Amount :31500.0
4 , 22/10/2012 07:01:37:748 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:01:37:752 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:01:37:816 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:01:37:819 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100556601Oustanding Amount :351813.0
4 , 22/10/2012 07:01:37:822 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100556601Approved Application Amount :400000.0
4 , 22/10/2012 07:01:37:825 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100556601Claim Applied Amount :351813.0
4 , 22/10/2012 07:01:37:827 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100556601Recovered Amount :0.0
4 , 22/10/2012 07:01:37:830 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100556601Default Amount :375000.0
4 , 22/10/2012 07:01:37:833 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:01:37:835 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:01:37:914 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:01:37:918 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12HP100369301Oustanding Amount :1106029.8
4 , 22/10/2012 07:01:37:920 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12HP100369301Approved Application Amount :1475000.0
4 , 22/10/2012 07:01:37:923 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12HP100369301Claim Applied Amount :799310.0
4 , 22/10/2012 07:01:37:926 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12HP100369301Recovered Amount :0.0
4 , 22/10/2012 07:01:37:929 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12HP100369301Default Amount :351813.0
4 , 22/10/2012 07:01:37:932 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:01:37:934 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:01:38:002 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:01:38:005 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12TN090204601Oustanding Amount :120000.0
4 , 22/10/2012 07:01:38:008 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12TN090204601Approved Application Amount :120000.0
4 , 22/10/2012 07:01:38:011 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12TN090204601Claim Applied Amount :90000.0
4 , 22/10/2012 07:01:38:014 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12TN090204601Recovered Amount :0.0
4 , 22/10/2012 07:01:38:016 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12TN090204601Default Amount :1106029.8
4 , 22/10/2012 07:01:38:020 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:01:38:023 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:01:38:091 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:01:38:094 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB080109701Oustanding Amount :65000.0
4 , 22/10/2012 07:01:38:097 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB080109701Approved Application Amount :65000.0
4 , 22/10/2012 07:01:38:100 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB080109701Claim Applied Amount :62798.0
4 , 22/10/2012 07:01:38:103 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB080109701Recovered Amount :0.0
4 , 22/10/2012 07:01:38:105 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB080109701Default Amount :120000.0
4 , 22/10/2012 07:01:38:109 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:01:38:112 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:01:38:179 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:01:38:182 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101011901Oustanding Amount :73530.9
4 , 22/10/2012 07:01:38:185 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101011901Approved Application Amount :94000.0
4 , 22/10/2012 07:01:38:188 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101011901Claim Applied Amount :51987.0
4 , 22/10/2012 07:01:38:191 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101011901Recovered Amount :0.0
4 , 22/10/2012 07:01:38:193 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101011901Default Amount :65000.0
4 , 22/10/2012 07:01:38:196 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:01:38:199 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:01:38:271 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:01:38:274 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101824701Oustanding Amount :91502.0
4 , 22/10/2012 07:01:38:277 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101824701Approved Application Amount :186000.0
4 , 22/10/2012 07:01:38:280 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101824701Claim Applied Amount :73202.0
4 , 22/10/2012 07:01:38:282 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101824701Recovered Amount :0.0
4 , 22/10/2012 07:01:38:285 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101824701Default Amount :73530.9
4 , 22/10/2012 07:01:38:288 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:01:38:290 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:01:38:356 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:01:38:359 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101095101Oustanding Amount :6663.0
4 , 22/10/2012 07:01:38:361 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101095101Approved Application Amount :6900.0
4 , 22/10/2012 07:01:38:364 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101095101Claim Applied Amount :5047.0
4 , 22/10/2012 07:01:38:367 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101095101Recovered Amount :0.0
4 , 22/10/2012 07:01:38:370 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101095101Default Amount :91502.0
4 , 22/10/2012 07:01:38:372 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:01:38:375 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:01:38:444 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:01:38:447 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA100411201Oustanding Amount :237716.0
4 , 22/10/2012 07:01:38:449 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA100411201Approved Application Amount :237716.0
4 , 22/10/2012 07:01:38:452 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA100411201Claim Applied Amount :201273.66
4 , 22/10/2012 07:01:38:455 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA100411201Recovered Amount :0.0
4 , 22/10/2012 07:01:38:457 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA100411201Default Amount :6663.0
4 , 22/10/2012 07:01:38:460 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:01:38:463 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:01:38:528 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:01:38:531 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA090007801Oustanding Amount :43805.0
4 , 22/10/2012 07:01:38:534 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA090007801Approved Application Amount :85000.0
4 , 22/10/2012 07:01:38:536 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA090007801Claim Applied Amount :49921.0
4 , 22/10/2012 07:01:38:538 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA090007801Recovered Amount :0.0
4 , 22/10/2012 07:01:38:540 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA090007801Default Amount :237716.0
4 , 22/10/2012 07:01:38:542 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:01:38:544 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:01:38:614 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:01:38:617 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100498501Oustanding Amount :60000.0
4 , 22/10/2012 07:01:38:619 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100498501Approved Application Amount :60000.0
4 , 22/10/2012 07:01:38:622 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100498501Claim Applied Amount :51000.0
4 , 22/10/2012 07:01:38:625 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100498501Recovered Amount :0.0
4 , 22/10/2012 07:01:38:630 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100498501Default Amount :43805.0
4 , 22/10/2012 07:01:38:633 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:01:38:635 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:01:38:704 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:01:38:706 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091162301Oustanding Amount :50000.0
4 , 22/10/2012 07:01:38:709 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091162301Approved Application Amount :50000.0
4 , 22/10/2012 07:01:38:712 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091162301Claim Applied Amount :42500.0
4 , 22/10/2012 07:01:38:715 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091162301Recovered Amount :0.0
4 , 22/10/2012 07:01:38:716 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091162301Default Amount :60000.0
4 , 22/10/2012 07:01:38:717 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:01:38:718 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:01:38:784 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:01:38:787 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101513101Oustanding Amount :50000.0
4 , 22/10/2012 07:01:38:790 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101513101Approved Application Amount :50000.0
4 , 22/10/2012 07:01:38:792 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101513101Claim Applied Amount :42500.0
4 , 22/10/2012 07:01:38:795 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101513101Recovered Amount :0.0
4 , 22/10/2012 07:01:38:798 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101513101Default Amount :50000.0
4 , 22/10/2012 07:01:38:801 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:01:38:804 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:01:38:880 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:01:38:883 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091855301Oustanding Amount :80000.0
4 , 22/10/2012 07:01:38:886 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091855301Approved Application Amount :80000.0
4 , 22/10/2012 07:01:38:889 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091855301Claim Applied Amount :68000.0
4 , 22/10/2012 07:01:38:891 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091855301Recovered Amount :0.0
4 , 22/10/2012 07:01:38:894 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091855301Default Amount :50000.0
4 , 22/10/2012 07:01:38:897 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:01:38:898 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:01:38:964 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:01:38:967 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100290601Oustanding Amount :98820.22
4 , 22/10/2012 07:01:38:970 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100290601Approved Application Amount :100000.0
4 , 22/10/2012 07:01:38:973 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100290601Claim Applied Amount :84016.0
4 , 22/10/2012 07:01:38:975 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100290601Recovered Amount :0.0
4 , 22/10/2012 07:01:38:978 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100290601Default Amount :80000.0
4 , 22/10/2012 07:01:38:981 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:01:38:984 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:01:39:049 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:01:39:056 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091616501Oustanding Amount :50000.0
4 , 22/10/2012 07:01:39:059 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091616501Approved Application Amount :50000.0
4 , 22/10/2012 07:01:39:062 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091616501Claim Applied Amount :42500.0
4 , 22/10/2012 07:01:39:064 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091616501Recovered Amount :0.0
4 , 22/10/2012 07:01:39:067 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091616501Default Amount :98820.22
4 , 22/10/2012 07:01:39:070 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:01:39:073 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:01:39:141 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:01:39:144 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KA080185201Oustanding Amount :650000.0
4 , 22/10/2012 07:01:39:146 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KA080185201Approved Application Amount :650000.0
4 , 22/10/2012 07:01:39:149 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KA080185201Claim Applied Amount :487500.0
4 , 22/10/2012 07:01:39:152 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KA080185201Recovered Amount :0.0
4 , 22/10/2012 07:01:39:155 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KA080185201Default Amount :50000.0
4 , 22/10/2012 07:01:39:157 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:01:39:160 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:01:39:227 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:01:39:230 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101591701Oustanding Amount :40000.0
4 , 22/10/2012 07:01:39:232 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101591701Approved Application Amount :40000.0
4 , 22/10/2012 07:01:39:235 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101591701Claim Applied Amount :34000.0
4 , 22/10/2012 07:01:39:238 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101591701Recovered Amount :0.0
4 , 22/10/2012 07:01:39:240 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101591701Default Amount :650000.0
4 , 22/10/2012 07:01:39:243 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:01:39:245 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:01:39:315 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:01:39:318 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091217001Oustanding Amount :20000.0
4 , 22/10/2012 07:01:39:320 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091217001Approved Application Amount :20000.0
4 , 22/10/2012 07:01:39:323 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091217001Claim Applied Amount :17000.0
4 , 22/10/2012 07:01:39:326 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091217001Recovered Amount :0.0
4 , 22/10/2012 07:01:39:329 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091217001Default Amount :40000.0
4 , 22/10/2012 07:01:39:332 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:01:39:334 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:01:39:404 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:01:39:407 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091565601Oustanding Amount :54395.0
4 , 22/10/2012 07:01:39:409 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091565601Approved Application Amount :60000.0
4 , 22/10/2012 07:01:39:412 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091565601Claim Applied Amount :37736.0
4 , 22/10/2012 07:01:39:415 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091565601Recovered Amount :0.0
4 , 22/10/2012 07:01:39:418 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091565601Default Amount :20000.0
4 , 22/10/2012 07:01:39:420 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:01:39:423 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:01:39:492 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:01:39:495 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091547901Oustanding Amount :60000.0
4 , 22/10/2012 07:01:39:497 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091547901Approved Application Amount :60000.0
4 , 22/10/2012 07:01:39:500 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091547901Claim Applied Amount :51000.0
4 , 22/10/2012 07:01:39:502 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091547901Recovered Amount :0.0
4 , 22/10/2012 07:01:39:505 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091547901Default Amount :54395.0
4 , 22/10/2012 07:01:39:507 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 22/10/2012 07:01:39:509 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 22/10/2012 07:01:39:576 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 22/10/2012 07:01:39:579 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12HP090110501Oustanding Amount :50000.0
